,视频标题,视频up主,视频观看人数（万次）,视频综合得分,视频弹幕数量,视频链接
81,这很合理 中国空间站操作界面都是中文,央视网快看,97.3,1038783,2656,https://www.bilibili.com/video/BV1g64y1d7EZ
82,《B 界 等 级 巅 峰 之 战》,芦苇十三少,43,1025766,2267,https://www.bilibili.com/video/BV1F64y197gA
83,“up，你能表演一下这个吗”,帅哥伊斯买裤衩,66.7,1023680,480,https://www.bilibili.com/video/BV1Nv411W7Uk
84,自带27个coser去逛漫展是什么体验？！,视角姬,55.4,1023623,2928,https://www.bilibili.com/video/BV1VV411s7Kj
85,玩 蛋,高斯Goh,69.4,1012150,3913,https://www.bilibili.com/video/BV1mh411a7Ua
86,这外挂开的就离谱！！,小南QAQ,79.5,1001627,1208,https://www.bilibili.com/video/BV1E54y1H7Bt
87,凡人之躯，比肩神明。,俊鸿,64,991372,458,https://www.bilibili.com/video/BV1hK4y1u7VC
88,【懂点儿啥】房价对韩国说：我的真面目就是你爹,肝帝董佳宁,85,983749,12000,https://www.bilibili.com/video/BV1Z64y1X7qH
89,我哭了，7国服大佬要找我单挑,水一大魔王,58,976288,3743,https://www.bilibili.com/video/BV16K4y1u73L
90,【C菌】2021年了 日本恐怖游戏竟然是这画风了。。。,渗透之C君,64.9,975193,4996,https://www.bilibili.com/video/BV1ub4y1o7sN
91,不会吧？不会真有人认为古代神仙会穷酸的买不起两根发簪？,蜗牛了了,82.4,973021,1339,https://www.bilibili.com/video/BV1AM4y1u7TK
92,财神身份大揭秘！解密文武财神历史身份~（第①期）,虫哥说电影,34.9,964745,2304,https://www.bilibili.com/video/BV17o4y1k7WV
93,诡异巨洞事件，地面之下是谁在求救？！【打泥泥】,打泥泥,44,963562,6392,https://www.bilibili.com/video/BV1eK4y1u7SV
94,饥荒果然是个恐怖游戏,威尔逊不是歌手,72,963555,3659,https://www.bilibili.com/video/BV1764y1r75W
95,卧槽，你敢信这居然是十六年前的偶像剧男主？？！,在下啵啵君,89,961566,1489,https://www.bilibili.com/video/BV17X4y1A7q8
96,进的太快，我还没唱够,凡熙大厨师,73.2,957286,1021,https://www.bilibili.com/video/BV1Jg411g7C2
97,相亲的男人有多自信，江南七怪让你感受窒息的诱惑,刘哔电影,111.5,954850,13000,https://www.bilibili.com/video/BV1Cg411g7ZS
98,【Hiiro】热爱 105 度崂山水的你,三文鱼稀饭字幕组,49.2,943648,686,https://www.bilibili.com/video/BV13M4y1u7d6
99,最新研究！新冠前年12月已在美国传播,央视新闻,64.3,943107,1679,https://www.bilibili.com/video/BV15V411s75v
100,【百万填词】用起风了打开袁隆平、吴孟超两位国士的一生,一把铁胎弓,53.6,939936,2190,https://www.bilibili.com/video/BV1B44y1B79p
